FileName,Date,Post
15365.female.34.indUnk.Cancer.xml,"12,May,2004","the history of seitans origin and different ways to prepare the seitan.   seitan (say-tahn) is made from gluten. gluten is the name of the insoluble protein in wheat, probably most familiar as the stuff that makes bread dough elastic. known as seitan in japan, as kofu in china, and as ""wheat meat"" and ""gluten"" here in the u.s., seitan is a low fat, high protein, firm-textured meat substitute. it has been eaten in china, japan, korea, russia and the middle east for thousands of years. gluten is often referred to in chinese restaurants as ""buddha food"", because of the claim that it was developed by pacifist, vegetarian buddhist monks as a meat substitute. it is a food rich in tradition as well as nutrition.   as a protein source, seitan contains about 31 grams of protein per 4 ounce serving (which means it has more plant protein per serving than tofu), provides a modest amount of b vitamins and iron and contains no saturated fat or cholesterol. a 3 1/2 ounce (100 gram) serving contains 118 calories, 18% protein and less than 1% unsaturated fat. the same amount of beef has 207 calories and 32.2% protein and is high in saturated fats. as recent studies have shown, our need for protein is much lower than previously believed and any opportunity to remove saturated fats from our diet would be an excellent improvement.   another dietary benefit of seitan is its low sodium content, although cooking often adds considerably to this. most of the commercially prepared seitan contains a considerable amount of sodium (up to 100 mg. per ounce). if you choose to deep-fry the gluten, the fat content will jump from virtually zero to the number of grams in whatever oil is absorbed (at 4.5 grams per teaspoon). moreover, like grain foods in general, this protein is incomplete and needs to be complemented with other protein sources such as dairy or legumes.   many vegetarians' first experience with eating gluten is at chinese or vietnamese restaurants, where it's called ""mock duck"", ""mock chicken"", etc. when it's sold in little tubs at the natural/health food store, it's called seitan again, probably because marketing studies showed that the word ""gluten"" lacks consumer appeal. it stands in for meat in many recipes and works so well that some vegetarians prefer to avoid it because the texture is too ""meaty."" however, for many vegetarians and others who are trying to make the transition to a meatless lifestyle, wheat meat"" is growing in popularity.   seitan usually starts out as whole grain wheat or high gluten flour mixed with water to obtain a bread dough consistency. the dough is kneaded vigorously for about 10 minutes, and then is left to rest so the gluten can develop. next, it is rinsed many times under running water, which removes most of the starch and much of the bran. what is left is a firm, stringy mass of high protein gluten that is then cooked in soy sauce and water with other spices added for flavoring, often including the sea vegetable kombu. when raw gluten (wheat dough with the starch washed away) has been cooked in a broth of shoyu, ginger, and kombu, it's called ""seitan"".   it is now ready to be used in casseroles, stir-fry, sandwiches, and enchiladas or just about anywhere that you might previously have used meat. it can be oven-braised, baked, cooked in a pressure cooker, or deep-fried. each version yields a different texture. oven braising produces a texture similar to the chewy texture derived from simmering. baking produces a light texture that works well when grinding or grating seitan. pressure-cooking will produce a softer texture. fried gluten turns soft and slippery when cooked with a sauce and absorbs flavor well.    - written by alyx sandborg, copyright 2002 by pagewise, inc"
15365.female.34.indUnk.Cancer.xml,"11,May,2004","westwood has  lost weight by eating high protein meat substitutes  and has enjoyed such a lift from his better diet and fitness that he is being sponsored by a well-known meat substitute company ( urllink quorn ) for two years. after ending three years in the wilderness since his heady 2000 with two wins last year, westwood, lying 64th in europe and with only moderate performances on the u.s. tour, is aiming to prove he really is back.  'i saw the benefits darren was getting and i've felt like i needed to do something for a long time,' said clarke's management stablemate. 'the great thing is, i've lost all this weight and on the (reuters) statistics i'm (driving) 10-15 yards longer.'"
15365.female.34.indUnk.Cancer.xml,"11,May,2004","urllink yves veggie cuisine - products   my favourite deli slices. yves veggie cuisine pepperoni slices are great on a home-made pizza! also, all street hot dog vendors in toronto carry smoky-flavoured yves good dog that has only 77 calories, 2 grams of fat, 13 grams of soy protein and provides 53% of the daily value of vitamin b12, which makes it one of the best hot dogs around."
15365.female.34.indUnk.Cancer.xml,"06,May,2004","hosted by kim o'donnel washingtonpost.com staff writer thursday, april 29, 2004; 12:00 pm  released may 5, 2004  a graduate of peter kump's new york cooking school, kim spends much of her time in front of the stove or with her nose in a cookbook.   the transcript follows.   editor's note: washingtonpost.com moderators retain editorial control over live online discussions and choose the most relevant questions for guests and hosts; guests and hosts can decline to answer questions.   ________________________________________________   kim o'donnel: hello out there. it's been a while since our last get-together. for those who are new, this is a monthly (usually) hour devoted to meat-free cooking, eating and shopping, held on the last thursday on the month. since we last discussed, i came across a fun piece on yahoo! about a new term coined for people who consider themselves part-time vegetarians: ""flexatarian."" i think that would aptly describe my eating habits. interesting piece because it brings to light that more and more people are eating less and less meat and choosing diversity among their food sources rather than the same ole same ole. so, tell what's happening in your worlds...by the way, my upcoming video series will feature some veggie items -- will keep you posted. onward...   _______________________   i'm a goin veggie huntin....: kim!; two questions: first, are you going to do another farmers market tour anytime soon? second, what great things should i look for at the farmers market this saturday morning?    kim o'donnel: the nice people at arlington courthouse have been very patient with me as i've not gotten my act together on setting a date. it'll be sometime in may or june, probably june. funny you ask about what's at market: my bit on wtop this morning was all about my finds last weekend. think green, kids. it's all about the greens -- green garlic, garlic chives, cilantro, parsley, chervil, asparagus, lamb's quarters (tastes like spinach, super easy to cook), baby kale, frisee, baby lettuce...such beauty and so tasty!   _______________________   frederick, md.: i'm a strict vegetarian and have always loved the creative aspects of cooking. however, my diet restrictions have prevented me from pursuing any formal culinary training. can you recommend any culinary programs that are vegetarian-friendly? (my goal is not necessarily to become a full-time chef, but a vegetarian food writer/cookbook author.)   kim o'donnel: there is a vegetarian cooking school in new york city that has a good reputation. name escapes me at the moment; it might be natural cookery something something...there are also shorter-term culinary vacations that are veg-friendly. check out shawguides.com   _______________________   st. paul, minn.: my two-year-old is allergic to milk but can eat yogurt; he also drinks a little soy milk. i don't think he gets enough calcium. any suggestions? and can you tell me how to make a smoothie? after i make one, how long can i leave it in the refrigerator?   kim o'donnel: lentils are loaded with calcium. spinach and broccoli also good sources...there's soy yogurt out there...don't know if allergy extends to goat's milk, but lots of new brands offering goat's milk yogurt...smoothies: i prefer with yogurt, and to it, i add 1 banana, plus any other fruits on hand, including a kiwi, a handful of berries, some pineapple, a half mango...blend. i don't add ice or juice because i like mine thicker, but you certainly can adjust to your tastes. doesn't last long at all in fridge; best to drink within one hour.   _______________________   arlington, va.: hi kim. just got back from new orleans and while i made an exception to my vegetarian leanings to try a bite of jambalaya, i'd love to make my own. any suggestions? i'm thinking smoked tofu, maybe?   kim o'donnel: i think smoked tofu is an interesting idea, and you've got meatless sausage links as well as the gimme lean brand of tube-like sausage that fries up well...hope you're adding okra!   _______________________   prince frederick, md.: can anyone recommend a good vegetarian cookbook that doesn't look like it was put together by a bunch of sherpas in tibet. most of what i've seen were printed on course-textured paper, brown ink, rather depressing to say the least. i want to know which grains and beans and dairy can be combined to make favorful, healthy meals without a lot of fat. i still use dairy and eggs -- you don't need to kill a cow or chicken for those things.   i can go for weeks without eating meat; it's not a major portion of my diet. but what really turned me off about meat was reading ""fast food nation."" it revealed how filthy and dangerous our meat packing plants are, what evils lurk in your meat which can make you very sick, and what underhanded management of the food industry is doing to us. i recommend everyone read it, as well as ""the jungle"" by upton sinclair.   kim o'donnel: prince,  vegetarian cookbooks have come a long way from the days of co-ops and communes...there are so many titles out there you may have trouble deciding. immediately what comes to mind are titles by deborah madison, jeanne lemlin and then there's crescent dragonwagon's ""passionate vegetarian"", loads of titles by robin robertson...and all of them are very contemporary.   _______________________   washington, d.c.: hi kim,   my husband is trying to find out how to make this pasta sauce that is green and creamy, with gorgonzola and walnuts. any ideas as to what it is?  thanks a bunch!   kim o'donnel: the green is probably coming from either arugula or spinach. this is a fun one to make, pretty easy, too. you can mix some gorgonzola with a touch of cream, stir over heat, gently tho...you could puree the greens, drain out water, really well...mix in with the cheese, add nuts, chopped, and then mix into your pasta...   _______________________   virginia: does you have any suggestions for good-quality fake chicken or beef? i am looking for big pieces, not something that is ""ground."" i have tried a couple of things without much luck. thanks!   kim o'donnel: many looking for similar products like the taste of quorn, which is made from a mycoprotein (fungus similar to mushrooms)...they've got quorn roasts, and patties and nuggets and all kinds of things...anyone else with fake meat ideas?   _______________________   anonymous: i have known people who can't drink cow's milk but are just fine with goat milk. they sell it at whole foods.   kim o'donnel: thanks for chiming in...that's what i was thinking...   _______________________   silver spring, md.: for meatless jambalaya, i'd use tempeh, i like it better than tofu in a tomatoey dish. some seitan might be good for texture also.   kim o'donnel: ah, bueno. thanks, silver!   _______________________   reston, va.: i'm sure you have answered this a billion times, but i hope you will humor me anyway... are there any year-round farmer's markets in the area (pref. northern va)?   kim o'donnel: yes, yes, yes!  arlington courthouse, on saturday mornings.  dupont circle and takoma park, sunday mornings.    _______________________   veggie burger: i've been trolling through the archives, but can't find it. can somebody offer up a good home-made veggie burger recipe? not lentils, please (ewww...)   kim o'donnel: a few months back, there was a slew of ideas over a two-week period. since then, i made chickpea patties, tinkered with some recipes and came up with my own variation. i did chickpeas and mashed potatoes, with herbs, garlic, onion...but i gotta get you the details. i don't have them here at my desk, but am happy to provide after i look through my papers at home...   _______________________   arlington, va.: we like to eat morning star farms ""chik nuggets"" - they also come in patties. my son particularly likes to have this when friends who ""hate"" veggies are over, 'cause they usually love them and can't believe they ate something not chicken.   kim o'donnel: thanks for weighing in on this 'meaty' matter, arlington.   _______________________   east falls church, va.: hi, kim!   you mentioned last chat (tues) that you mash ginger in morter and pestle. i presume you peel it first, but i, too, hate grating ginger and would like to try this option. (for example, do you have to mash more than needed to get enough?).   thanks!   kim o'donnel: hey efc,  yeah, i cut off what i need, then peel it with a teaspoon, cut into a few smaller pieces and then pound with the m&p. works really well, and no, you do get what you need.   _______________________   dupont circle, washington, d.c.: for your reader who inquired about the vegetarian  cooking school . . . yes, it's called the natural  gourmet cookery school  (www.naturalgourmetschool.com) in new york city.  they also do dinners open to the public on most  friday evenings. sounds like a great opportunity to  sample great food from the students.   kim o'donnel: hey, thanks for following up!   _______________________   new york, n.y.: kim,   i need fruit help. i feel stuck between seasons--apples and pears on the way out, citrus is blah, but it's too early for summer fruits, right? what should i look for that's going to be tasty, that is, in season or almost in season? i'm 8 months pregnant and trying very hard to be good, when i all really want is to stop at kripsy kreme!;   thanks!;   kim o'donnel: it is a tough time for fruit. i was just thinking the same thing while in the supermarket this week. soon come: local strawberries, plus figs. mangoes are coming in from various parts of the world where they are in season, fyi...   _______________________   re: low fat veggie cookbook: moosewood has a low-fat vegetarian cookbook, and it includes many more things than what sherpas would eat. it has its fair share of twigs and berries, but also a lot of grains, beans, tofu, pasta, and cheese variations.   kim o'donnel: thanks for reminding me...my moosewood, with the international focus, is very dog-eared from years of use.   _______________________   for reston looking for farmers market in nova:: the falls church farmers mkt at city hall starts this week, on saturday mornings   kim o'donnel: great news, and thanks for helping out a fellow reader.   _______________________   alexandria, va.: hi kim!   when you mention farmers' markets, you often neglect to mention the alexandria farmers' market, which goes year-round, and is the oldest in the area. it's open from 5:30am (ugh!)to 10:30am every saturday.   kim o'donnel: very glad that you've reminded me, alexandria.   _______________________   virginia: i am so excited, i just have to share. for years, i have been trying to make mango lassis like the ones in indian restaurants, but the ones i made were never as good. i finally found the secret: rosewater. you only need a couple of drops, but it makes all the difference. also, the frozen mango chunks from trader joe's make lassi-making very easy, and i find the quality to be very good. i have been drinking them every day this week!   kim o'donnel: funny you mention that - was just talking with the woman who's been consulting me on some indian recipes for video series, and she was saying that very thing...but if you add too much, your lassi can taste like lipstick...thanks for sharing.   _______________________   silver spring, md.: hi kim -  i have been eating a wonderful whole grain mixture for breakfast - oat groats, millet, brown rice, seeds, etc... i've been mixing with apple and it's very yummy.   i'm thinking it would also make a great salad, with jicama, zucchini, red peppers and more but don't know how to dress it. do you have any ideas?   love your chats - you rock!   kim o'donnel: squeeze of lemon or orange or grapefruit and some olive oil, silver. some fresh chopped parsley or cilantro, salt, pepper, garlic, scallions. sounds nice.   _______________________   arlington, va.: hi kim, i want to make a tofu and veggie curry...does tofu go with curry seasonings? also, i'm not great with really spicy stuff, so can you give me a good mild (yet flavorful!) curry recipe to use with this? would i cook the tofu at all before adding it in? i'm not sure where to start...   thanks!!   kim o'donnel: do you want to do coconut milk curry? talk to me.   _______________________   arlington, va.: hi kim,  white bean bruschetta - i tried to make it  last night but forgot the ingredients - & i  bought the wrong kind of beans. here's  what i came up with so far - what am i  missing (or how can i vary it)?   tomatoes, onions, lime juice, fresh basil   kim o'donnel: the beauty of bruschetta is that you can mess up and no one will ever know...in italy, bruschetta are among the many ""salatini"" that are put out on bar counters as snacks,and often they consist of ingredients in the kitchen at that moment. you can vary this any way you want...one fun thing is to toast bread slices and then rub a whole clove of garlic on each slice...don't forget salt. lemon zest is great. rosemary is beautiful with white beans...one thing that helps is to keep you mixture fairly dry...   _______________________   fairfax, va: kim,   my wonderful, beautiful, patient wife is a vegetarian, and i'm a happy meat eater. i'd like to make her a special dinner some night, but i'd like to do it on the grill. what can i cook for her that will be flavorful and unique? (and how do i do it)?   thanks!;   kim o'donnel: you can make her skewers of pineapple, red onion (or pearl onions), bell peppers and squares of tofu. brush the whole thing with soy sauce, sesame oil, a little honey and sprinkle some cayenne. serve over rice. you, sir, can have that, after you grilled for your lovely wife, a steak or some fish kebabs...   _______________________   washington, d.c.: hi kim,  speaking of farmer's markets, do you know what is going on with the one that started last year, on thursdays in penn quarter (i think it was on 7th and e maybe?) is it coming back? do you know when? it was so nice to be able to do some quick shopping on my way home from the office since the area is bereft of any real supermarkets...  thanks!   kim o'donnel: yes, it is. starting next thursday, may 6, from 3 to 7.   _______________________   bethesda, md.: hello-  do you know where one could go to pick strawberries and the like around here? preferably in md. thanks   kim o'donnel: weekend section usually does an annual list which i'm betting will come out next month. anyone with tried and true strawberry picking spots?   _______________________   rockville, md.: my favorite italian restaurant serves veggie ravioli with a killer pistachio cream sauce. in making this at home would you recommend the ""plain old salted"" bagged variety or using plain nuts instead...   kim o'donnel: plain, unsalted. you got it...   _______________________   vegetarian pigs in a blanket: does anyone have any ideas for how to make vegetarian pigs in a blanket? i am open to both synthetic meat and more natural options. thanks!;   kim o'donnel: i'm throwing this out to you guys for thoughts, etc...   _______________________   washington, d.c.: hey kim, a quick question for you- whare are some good (tasty and healthy) snack foods you could reccomend? i'm trying to cut back on sugar, so i'd rather have some sort of veggie and dip as a snack after work instead of a cookie. thanks   kim o'donnel: making your own hummus or white bean spread is very easy, takes about 15 minutes. can be used for dipping or as a sandwich filler...high protein, no sugar, good fats from olive oil...   _______________________   soy bechamel?: any reason not to use soy milk in a bechamel sauce? there's a recipe for a killer mushroom lasanga made with a bechamel sauce in the march cooking light that i'd like to modify. thanks   kim o'donnel: chemical composition of soy milk is different, but doesn't mean it can't work. i don't know for sure. my copy of ""dairy-free cooking"" offers some ""cream sauce"" ideas...so why not??   _______________________   vege in fairfax, va.: to the question about paneer from the what's cooking chat. one can drain it in cheese cloth and tea sieve to hold the contents in. keep in a cold place overnite. remember to close the top of the sieve so that other odors from other products dont mix in.  actually mango lassi is not very common in india. lassi is usually salty. i just buy low fat butter milk and make a spice mixture of roasted cumin, curry leaves, rock salt and white pepper(all ground together) and beat the lassi until frothy. yummy  try cardamon in your mango lassi for the extra zing!   kim o'donnel: thanks, fairfax...great tidbits...i'm only just learning about buttermilk for lassis...   _______________________   st. louis, mo.: another cookbook suggestion: i started out veggie with the ""horn of the moon"" cookbook by ginny callan. many yummy recipes, all vegetarian. a follow-up book, ""beyond the moon,"" includes more recipes with an international/fusion twist (carribean variations, tempeh burritos, etc.) worth a look.   kim o'donnel: not familiar with this one, st. lou. thanks for the tidbit...   _______________________   suitland, md.: does anyone know of a good soy cheese brand? something that actually tastes like cheese? i am looking for a block that i can grate.   thanks!!   kim o'donnel: who knows of soy cheese that can be grated???   _______________________   washington, d.c.: hi kim!; i have some fresh green beans and want to do something spicy with them, but without a trip to the store. i have oil, soy sauce, dried red crushed pepper, and fresh garlic. i was thinking of stirring them up in a pan, but would it be better to blanch them first? thanks!;   kim o'donnel: blanching them does help bring them along, washington, even if you only do it for a minute or so...not a bad idea....   _______________________   bethesda, md.: hello kim-  i have an eggplant question for you. i generally hate eggplant (hate the texture) but there is one way that i really, really love it. i know it is simple but can't figure it out. i usually have it as antipasto in italian restaurants or when i was in italy. it is basically sliced eggplant and balsamic vinigar. i don't know if it is cooked and then cooled to room temp or simply marinated. can you help me? thanks   kim o'donnel: eggplant is one of those things that needs to be cooked, bethesda. was it in cubes, slices, all mushed up? do tell...   _______________________   boston, mass.: hi kim,   what can i do with broccoli besides steam it?  thanks!   kim o'donnel: i like roasting it, at 500 degrees. but first, roll florets in a mix of chopped ginger, olvie oil, garlic, paprika, salt, black pepper, stuff like that. it's a great treat!   _______________________   indian head, md.: hi kim! my new favorite meal: vegetarian tacos made with tempeh and browned onions. i am using a boxed mix, but would like suggestions on making the taco seasoning from scratch.   they are delicious with veggie cheese, tomatoes and julienned spinach on top!   j   kim o'donnel: let's see...i'd do cayenne, black pepper, oregano, cumin, garlic powder, cloves (a dash only!), maybe even some coriander...   _______________________   washington, d.c.: my special someone has a birthday coming up and i wanted to cook something specatular and vegetarian for them. do you have any cookbooks or sources or recipes in mind that i could try and use?   kim o'donnel: spectacular and vegetarian...i'm thinking of a curry. i've got an interesting idea for a thai-style tofu curry with pineapples and potatoes, but i think cauliflower, green beans would also go beatifully...let me know if this is of interest...   _______________________   oxford, miss: i'm a vegetarian and one of my favorite meals is rice and beans, but i'm getting bored with my recipe. do you have any suggestions for how to liven up this old classic?   kim o'donnel: do you make a sofrito for your r& b? you know, a mixture of chopped onions, green peppers, garlic and some herbs...like a little thyme or oregano...i'd also add a chopped fresh chile...   _______________________   reston, va.: good morning kim. still struggling with the white sweet potatos. any ideas?   thanks!   kim o'donnel: not very often that we see white sweet potatoes...i'd roast them, mix with lime, cilantro and sesame oil after cooking...or do some garlic and chiles, plus a little oil...fresh parsley is also nice, a little lemon zest...   _______________________   herndon, va.: oh joy - grilling time is upon us... but my  marinate recall has lapsed  please advise with some great basics for  marinating - i'm specifically thinking of the  little mushrooms and zucchini i bought  yesterday for bbq skewers, but a good  marinate could work on most foods...   also, any hints on grilling veg on  skewers?  thanks in advance   kim o'donnel: salt really well. use a brush. olive oil, although simple, is a good standby...fresh sprigs of herbs are great too...indirect heat...pieces should all be the same size...   _______________________   reston, va: hooray for the mention of the alexandria farmers'  market. my great-grandfather sold there every  saturday morning and my great-aunt and my dad  tell fabulous stories about getting up -really- early  to go to market. there are also lots of stories about  my dad stealing strawberries out of the baskets that  were packed on friday...   kim o'donnel: nice story, reston. thanks for the memories...   _______________________   re: strawberry picking: butler's orchard, in germantown (md). you can call their phone line to find out what's available when.   kim o'donnel: excellent!   _______________________   laurel, md: chiming in:   rice and beans: i've been planning a reverse black beans  and white rice using white beans and some of the black  rice, seasoned with a south-east asian theme.   kim o'donnel: ooh...i like that...   _______________________   dallas, texas - arugala: hi kim.  wanted to share a great sauce recipe. i sauteed fresh asparagus spears in some water (could use wine) and lemon juice, with salt and pepper. then added a can of crushed tomatoes, and a little bit of sugar, garlic, and onions. let it all cook together till the sauce thickens. i served it with brown rice, but it could be easily served with pasta. at the end, add fresh arugala - it adds incredible zip to the recipe. very healthy and delicious. and with all the flavors, you won't miss the meat.   ~chef in training   kim o'donnel: very nice indeed, dallas. keep sending reports of your experiments!   _______________________   washington, dc: this may sound a little strange, but what exactly are white beans? i.e. does the can say ""white beans"" are is it like white fish and any number of varities could apply? thanks for the insight.   kim o'donnel: white beans actually refer to only a few kinds: cannellini (which are really white kidney beans) and great northern beans. they are interchangeable.   _______________________   adams morgan: how does one make a white bean spread?   kim o'donnel: a can of drained white beans. whiz in a food processor. olive oil, garlic, chopped fresh rosemary, cayenne, salt. taste. lemon zest is nice, too. taste. add more seasoning if needed. taste for smoothness, too. you're good to go.   _______________________   arlington, va: hi,   i hope you can help me. i have a 7 year old who used to eat all kinds of vegitables. ever since she started school, she stopped eating vegitables. the only vegitable she'll eat are corn on the cob or if i grind up veggies inside dumplings. i tried serving veggies with gravy/salt/cheese and she acts like she's in fear factor eating worms. i think it's a texture thing. do you have any suggestions?   kim o'donnel: take her to the farm market this weekend. introduce her to a farmer. let her pick out something that the two of you can make together. obviously she likes veggies if she was eating them before; making the preparation fun could open her eyes. let me know how it goes...   _______________________   kim o'donnel: out of time, folks. thanks for all the good stuff. take good care, eat well, and get out there to your neighborhood farm market! the air is now fresh, the new crops are for the taking! promise to be back for end of may, and in meatime, join me for the regular tuesday free for all..best to you.   _______________________    â© 2004 washingtonpost.newsweek interactive"
15365.female.34.indUnk.Cancer.xml,"06,May,2004","by jessica rae patton, may 7 2004  i recently spent the weekend in chicago, the city of encased meat. just about any poor critter that can be ground and stuffed in a swag of intestine, then boiled or grilled and served in a bun, can be bought for a couple bucks every few blocks at one of the ubiquitous hot dog stands there.  at hot doug's, for example, aside from the traditional pork and beef wieners there were chicken, pheasant, wild boar and lamb tube steaks.  but there were also rumors of a veggie dog, which is how my animal-munching friend emily lured me to this popular bratwurst bistro. because the fact is, although i'm a vegan, i'm a fool for fake meat. or anything, really, that can serve as a vehicle for condiments and be eaten alongside french fries, the more lowbrow the atmosphere the better--diners, burger shacks, carnival snack stands. these food venues usually fall short in the fried-faux-meat category, as you might imagine. but i guess because chicago's a city teeming with working-class hipsters--two-fisted liberals, as studs terkel refers to them--folks whose proletariat taste buds sometimes clash with their compassionate eating ethics, the local sausage slingers make concessions with their concessions. i, for one, thank doug and his colleagues for this. that was one damn good dog. char-grilled, with onions, a pickle spear, some neon relish, tomato slices and yellow mustard, all overflowing a squishy roll.  i returned home with an unabatable hankering for a faux dog with all the fixings, donned the first shorts of the season and set out with the crazy notion that i might be able to score a veggie dog at one of our local hot dog haunts. i dragged my boyfriend, art, along to taste-test the real ones.  i f you want a guaranteed hostile reaction, head for the greasiest of greasy spoons and suggest they add a veggie dog to the menu. at the original swanky frank's, a worn-down wiener shack overlooking a scenic i-95 on-ramp, the owner, bob, snorted, ""that would be sacrilegious.""  ""but i was in chicago, and--""  ""this isn't chicago, is it?"" he said and walked away. was he really pissed off, or just a grouchy guy in general? maybe i was naã¯ve to the subversive nature of soy protein. and here i just wanted one more place to spend my money on some good, cheap grub.  i sat on a rickety stool and ordered french fries and blathered on about writing a food review. the fry cook, who looked like billy bob thornton playing a surly fry cook, shook his head in disgust and muttered something about how you can't write a food review if all you eat is french fries. these guys were in their 30s, early 40s tops, but they had the grumpy old geezer thing down. their disdain was as thick as the mystery oil they were deep-frying--yup, deep-frying--the dogs in.  in all fairness, our server at the swankier of the swankies, in westport, was super-friendly. (let's consider the first location skanky frank's, as to not confuse the two.) she smiled and everything. the place also looked like it had been intimate with both a paintbrush and a sponge in recent memory. art highly approved of the deep-fried technique. ""it makes the texture crackly, not snappy.""  ""snappy?""  ""yeah, some hot dogs are snappy. the skin won't give right away when you bite it, then it snaps.""  he also liked that the raw onions were self-serve. for the sake of quality assurance he ordered the same dog toppings at every stop: bacon, ketchup, onions. ""the bacon's under the dog, where it should be,"" he noted.  the french fries were great: thin-cut, some skin left on for that dirty taste, super-crisp but not crisped through. we liked that our order was wrapped up in an old-timey cardboard box.  dog: $2.90, fries: $2.25   â¢ â¢ â¢    rawley's drive-in 1886 post rd., fairfield, 259-9023  rawleys' dã©cor makes skanky frank's look positively posh. the wood paneling interior has decades of initials, names and declarations of love scratched into its surface, like a summer camp cabin. two high-school-age boys flew around the kitchen putting orders together.  ""so. would you ever consider carrying a veggie dog, you think?""  ""no way!"" the one working the grill yelled. ""people freak out if we change anything here. we had to repair those walls,"" he gestured to two white walls behind him, ""to meet health codes, and people flipped out. a veggie dog? they'd kill us!""  they got every single thing about our order wrong--handed us someone else's food, gave art the wrong drink, rang the order up incorrectly, made it ""for here"" instead of ""to go."" the more flustered they got, the more they messed up. i didn't mind a bit. it somehow went with the summer camp vibe, and i thought it was probably a fluke. they were extremely apologetic. ""it was so busy a minute ago, we were slammed,"" the one at the cash register explained.  the word ""poop"" was engraved in huge letters right below the counter.  the cook pulled art's dog from the fry basket, split it and threw it on the grill. ""it's deep-fried and grilled?"" i asked, because i couldn't believe it. it was like a heart attack on a bun.  after a couple investigative bites, art reported that he actually preferred swanky frank's single dose of grease, though the rawley's dog also passed the crackly texture test, the bun was fresh and well-toasted and there was a generous amount of bacon draped over the dog.  i was still trying to interpret ""snappy."" ""is it that feeling of breaking the seal with your teeth?"" i asked.  ""exactly,"" he said.  ""i like that,"" i said.  ""that's the thing. it's so hard to judge hot dogs, because they're such a historical food in a person's life."" he gestured philosophically with his dog. ""people are fanatical about these. this is the perfect hot dog if it's what you grew up with.""  no one could get nostalgic about the fries, however, which were of the frozen, crinkle-cut variety, mealy and barely browned.  dog: $2.40, fries: $1.90   â¢ â¢ â¢    super duper weenie 306 black rock turnpike,fairfield, 334-dogs  i admit i was biased in favor of super duper weenie to begin with for its name. and if i had to eat off any of the linoleum-checked floors, this would be the one. by now i was resigned that there were no take-out veggie dogs in my near future... when i spotted its cousin on the menu.  ""how long have you carried veggie burgers for?"" i asked the cashier, who turned out to be one of the owners, lorin.  ""since we opened,"" he said.  ""but you don't have a veggie dog?""  ""veggie dog? i can't say we've ever considered it."" he appeared to actually be contemplating the concept.  ""would you consider it?""  ""i don't think they'd sell.""  ""do the veggie burgers sell?""  ""yeah.""  ""so why wouldn't a veggie dog?""  ""we're a greasy hot dog place.""  ""you could just try it out.""  ""we have tuna...""  ""please?""  ""i'll think about it. we've honestly never thought of it before.""  art surveyed his super duper dog. plentiful onions, two fat strips of bacon. but i could tell his assessment by the face he made when biting down. snappy. he liked the flavor of the meat, if not the texture, but swanky frank's was his personal overall favorite dog of the day, no question.  we agreed the fries were stellar--the best of the bunch by far. lots of skin, whittled-thin shapes, perfectly crisp with downy insides. lorin gave the batch a generous shake of pepper as well as salt. pepper on french fries! kind of nouveau cuisine for a former hot dog truck, don't you think? i just know an animal-free frank is next...  dog: $2.70 fries: $2.25  copyright â© 2004, fairfield county weekly"
15365.female.34.indUnk.Cancer.xml,"06,May,2004","here is a little introduction to a few of them     soya : soya is a good source of protein and low fat. can be used to produce milk, dairy replacements products, as well as to replace the texture and bulk of meat, usually in the form of textured vegetable protein. is usually the basis for many meat substitutes.     tofu  : manufactured by a process similar to cheese making, but from soya milk. very good source of protein, calcium and low fat.  able to take on flavours well â great for marinating. can be used for stirâfries, kebabs, salads and just about anything savoury. tofu also is available in a silken form which is used for desserts, sauces or flans.     quorn : not made from soya but is a mycoprotein. made from the fermentation of a fungus, mixed with egg white. usually found as chunks, mince, fillets, burgers or sausages."
15365.female.34.indUnk.Cancer.xml,"22,February,2001","outside north ridge hospital, the one that i know all the shortcuts to, i sit waiting for triple a after hand holding in room 426 this time.  my grandmother is in again for rehydration. this time it's been 8 days. today was by far the hardest. i decided to reach across and hold her hand bruised, swollen, arthritis with gout, not really a hand anymore.  years of sewing trusses, hunched over, and for low pay.  i suspect she won't be around much longer. i think she has decided to let go. after all, there is nothing left here for her but more pain and the missing husband of 53 years, now dead 13 months.  the past 6 have been reasonable considering her coherence is so limited but today she was there. i saw in her eyes the same grandmother who played games with me all summer long, put on plays, treated me like sugar on top of strawberries and now, me, child of 30 at her bedside; shriveled old woman the years were not kind to, wanting death knowing too full well now in my reaching out was saying to her from all of us for the first time the last time, you are forgiven."
15365.female.34.indUnk.Cancer.xml,"31,October,2002","carnival   oh, but to feel this good, this flushed face, your voice,  breathe, breathe.  i am hyperventalating. i am electrified; blowing up like a balloon  and rising to the top of the tent past tight-rope walkers.  i rise up and through,  the canvas melts away to let me pass, and it's all stars and sliver moon,  up, up, up."
15365.female.34.indUnk.Cancer.xml,"30,October,2002","accidental rhyme   it comes out like this, running water against porcelain, into a glass, or bottle,  captured for espresso, mixed into soup, taken with vitamins, or with a $20 placebo when i am lucky.  it quenches my thirst or leaves me bloated. when i jump up and down, i can hear it always inside me sloshing around."
15365.female.34.indUnk.Cancer.xml,"30,October,2002","six before breakfast   memories of wanting more and i left you the gift  of my sigh to ponder, getting the last word in before my power cut off,  denying all but me the right to caffeine.  eight hours later, the work day spent, my smile shows no sign of setting into the horizon.  i wonder  will i wake to your words in the morning."
